No errors
No warnings
368 ms
data source=metars
4796 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KY23 171915Z AUTO 00000KT 10SM SCT014 OVC023 M02/M05 A2973 RMK AO2 T10251053,KY23,2021-01-17T19:15:00Z,45.3,-91.63,-2.5,-5.3,0,0,,10.0,29.731298,,,TRUE,TRUE,,,,,,,SCT,1400,OVC,2300,,,,,MVFR,,,,,,,,,,,,METAR,322.0
KY19 171915Z AUTO 33010KT 10SM CLR M01/M05 A2987 RMK AO2 PWINO,KY19,2021-01-17T19:15:00Z,46.77,-100.9,-1.0,-5.0,330,10,,10.0,29.870079,,,TRUE,TRUE,,,,,TRUE,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,591.0
KXSA 171915Z AUTO 25008KT 10SM SCT049 10/M02 A2979 RMK AO2 T00951016,KXSA,2021-01-17T19:15:00Z,37.87,-76.9,9.5,-1.6,250,8,,10.0,29.790354,,,TRUE,TRUE,,,,,,,SCT,4900,,,,,,,VFR,,,,,,,,,,,,SPECI,41.0
KX60 171915Z AUTO 28008KT 10SM CLR 14/03 A3002 RMK AO2 T01430028,KX60,2021-01-17T19:15:00Z,29.35,-82.47,14.3,2.8,280,8,,10.0,30.02067,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,21.0
KX07 171915Z AUTO 00000KT 10SM FEW060 15/09 A3004 RMK A01,KX07,2021-01-17T19:15:00Z,27.9,-81.62,15.0,9.0,0,0,,10.0,30.041338,,,TRUE,TRUE,,,,,,,FEW,6000,,,,,,,VFR,,,,,,,,,,,,METAR,36.0
KW96 171915Z AUTO 26008KT 10SM CLR 09/M03 A2980 RMK AO1 T00941032,KW96,2021-01-17T19:15:00Z,37.5,-77.12,9.4,-3.2,260,8,,10.0,29.799213,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,35.0
KW81 171915Z AUTO 23008KT 190V260 10SM CLR 08/M05 A2980 RMK AO1 T00801055,KW81,2021-01-17T19:15:00Z,37.18,-78.1,8.0,-5.5,230,8,,10.0,29.799213,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,121.0
KW78 171915Z AUTO 25008KT 10SM CLR 09/M03 A2983 RMK AO1 T00881034,KW78,2021-01-17T19:15:00Z,36.7,-78.85,8.8,-3.4,250,8,,10.0,29.828741,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,120.0
KW75 171915Z AUTO 24006KT 10SM CLR 10/M03 A2980 RMK AO1 T00971031,KW75,2021-01-17T19:15:00Z,37.6,-76.45,9.7,-3.1,240,6,,10.0,29.799213,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,8.0
KW29 171915Z AUTO 28011G15KT 10SM BKN050 07/M01 A2976 RMK AO2,KW29,2021-01-17T19:15:00Z,38.98,-76.33,7.0,-1.0,280,11,15,10.0,29.760826,,,TRUE,TRUE,,,,,,,BKN,5000,,,,,,,VFR,,,,,,,,,,,,METAR,1.0
KW13 171915Z AUTO 24005KT 10SM SCT046 OVC060 04/M03 A2976 RMK AO1 T00401028,KW13,2021-01-17T19:15:00Z,38.08,-78.95,4.0,-2.8,240,5,,10.0,29.760826,,,TRUE,TRUE,,,,,,,SCT,4600,OVC,6000,,,,,VFR,,,,,,,,,,,,METAR,440.0
KVVV 171915Z AUTO 34010KT 10SM OVC013 M02/M04 A2981 RMK AO2,KVVV,2021-01-17T19:15:00Z,45.3,-96.42,-2.0,-4.0,340,10,,10.0,29.811024,,,TRUE,TRUE,,,,,,,OVC,1300,,,,,,,MVFR,,,,,,,,,,,,METAR,334.0
KVUJ 171915Z AUTO 20009KT 10SM OVC045 07/M02 A2991 RMK AO2 T00721024,KVUJ,2021-01-17T19:15:00Z,35.42,-80.15,7.2,-2.4,200,9,,10.0,29.911417,,,TRUE,TRUE,,,,,,,OVC,4500,,,,,,,VFR,,,,,,,,,,,,METAR,174.0
KVTI 171915Z AUTO 29007KT 10SM CLR M02/M06 A2977 RMK AO2 T10161059,KVTI,2021-01-17T19:15:00Z,42.22,-92.02,-1.6,-5.9,290,7,,10.0,29.769686,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,256.0
KVNW 171915Z AUTO 25008KT 2 1/2SM -SN OVC012 00/00 A2968 RMK AO2,KVNW,2021-01-17T19:15:00Z,40.87,-84.62,0.0,0.0,250,8,,2.5,29.681103,,,TRUE,TRUE,,,,,,-SN,OVC,1200,,,,,,,IFR,,,,,,,,,,,,METAR,238.0
KVNC 171915Z AUTO 17010KT 6SM HZ OVC035 17/12 A3004 RMK AO2,KVNC,2021-01-17T19:15:00Z,27.07,-82.43,17.0,12.0,170,10,,6.0,30.041338,,,TRUE,TRUE,,,,,,HZ,OVC,3500,,,,,,,VFR,,,,,,,,,,,,SPECI,4.0
KVLL 171915Z AUTO 25005KT 10SM SCT012 SCT019 OVC042 02/00 A2964 RMK AO2 T00230001,KVLL,2021-01-17T19:15:00Z,42.55,-83.18,2.3,0.1,250,5,,10.0,29.639763,,,TRUE,TRUE,,,,,,,SCT,1200,SCT,1900,OVC,4200,,,VFR,,,,,,,,,,,,METAR,214.0
KVJI 171915Z AUTO 23006KT 10SM BKN025 OVC032 02/M04 A2978 RMK AO2 T00161039,KVJI,2021-01-17T19:15:00Z,36.68,-82.03,1.6,-3.9,230,6,,10.0,29.778543,,,TRUE,TRUE,,,,,,,BKN,2500,OVC,3200,,,,,MVFR,,,,,,,,,,,,METAR,636.0
KVER 171915Z AUTO 00000KT 7SM SCT015 BKN042 OVC080 03/00 A2986 RMK AO2 T00251003,KVER,2021-01-17T19:15:00Z,38.95,-92.68,2.5,-0.3,0,0,,7.0,29.861221,,,TRUE,TRUE,,,,,,,SCT,1500,BKN,4200,OVC,8000,,,VFR,,,,,,,,,,,,METAR,209.0
KVDF 171915Z AUTO 00000KT 10SM BKN060 16/08 A3004 RMK AO2,KVDF,2021-01-17T19:15:00Z,28.02,-82.33,16.0,8.0,0,0,,10.0,30.041338,,,TRUE,TRUE,,,,,,,BKN,6000,,,,,,,VFR,,,,,,,,,,,,SPECI,5.0
KVBW 171915Z AUTO 23007KT 10SM OVC050 05/M03 A2974 RMK AO1 T00461027,KVBW,2021-01-17T19:15:00Z,38.37,-78.97,4.6,-2.7,230,7,,10.0,29.740158,,,TRUE,TRUE,,,,,,,OVC,5000,,,,,,,VFR,,,,,,,,,,,,METAR,362.0
KUXL 171915Z AUTO 28008KT 10SM CLR 20/M04 A3007 RMK AO2 T02011044,KUXL,2021-01-17T19:15:00Z,30.13,-93.38,20.1,-4.4,280,8,,10.0,30.070866,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,2.0
KUTA 171915Z AUTO 29014KT 10SM CLR 10/M04 A2994 RMK AO2 TSNO,KUTA,2021-01-17T19:15:00Z,34.68,-90.35,10.0,-4.0,290,14,,10.0,29.940945,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,58.0
KUOX 171915Z AUTO 29016G22KT 10SM CLR 10/M06 A2992 RMK AO2 PWINO,KUOX,2021-01-17T19:15:00Z,34.38,-89.53,10.0,-6.0,290,16,22,10.0,29.920275,,,TRUE,TRUE,,,,,TRUE,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,123.0
KUNU 171915Z AUTO 31005KT 10SM OVC014 M02/M04 A2969 RMK AO2 T10161045,KUNU,2021-01-17T19:15:00Z,43.42,-88.7,-1.6,-4.5,310,5,,10.0,29.68996,,,TRUE,TRUE,,,,,,,OVC,1400,,,,,,,MVFR,,,,,,,,,,,,SPECI,281.0
KULM 171915Z AUTO 33008KT 10SM CLR M04/M07 A2978 RMK AO2,KULM,2021-01-17T19:15:00Z,44.32,-94.5,-4.0,-7.0,330,8,,10.0,29.778543,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,305.0
KUKT 171915Z AUTO 24008G17KT 10SM BKN037 OVC043 05/M03 A2966 RMK A01,KUKT,2021-01-17T19:15:00Z,40.43,-75.38,5.0,-3.0,240,8,17,10.0,29.660433,,,TRUE,TRUE,,,,,,,BKN,3700,OVC,4300,,,,,VFR,,,,,,,,,,,,METAR,156.0
KUKF 171915Z AUTO 00000KT 10SM BKN050 06/M03 A2985 RMK AO2,KUKF,2021-01-17T19:15:00Z,36.22,-81.1,6.0,-3.0,0,0,,10.0,29.84941,,,TRUE,TRUE,,,,,,,BKN,5000,,,,,,,VFR,,,,,,,,,,,,METAR,383.0
KUBE 171915Z AUTO 30003KT 10SM BKN009 OVC024 M04/M06 A2972 RMK AO2,KUBE,2021-01-17T19:15:00Z,45.5,-91.98,-4.0,-6.0,300,3,,10.0,29.719488,,,TRUE,TRUE,,,,,,,BKN,900,OVC,2400,,,,,IFR,,,,,,,,,,,,METAR,376.0
KU42 171915Z AUTO 15009KT 10SM CLR 06/00 A3029 RMK AO1 T00621001,KU42,2021-01-17T19:15:00Z,40.62,-111.98,6.2,-0.1,150,9,,10.0,30.28937,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1399.0
KTWM 171915Z AUTO 00000KT 10SM OVC021 M03/M08 A2972 RMK AO2,KTWM,2021-01-17T19:15:00Z,47.05,-91.75,-3.0,-8.0,0,0,,10.0,29.719488,,,TRUE,TRUE,,,,,,,OVC,2100,,,,,,,MVFR,,,,,,,,,,,,METAR,331.0
KTVY 171915Z AUTO 05005KT 10SM CLR 06/00 A3029 RMK AO2,KTVY,2021-01-17T19:15:00Z,40.62,-112.35,6.0,0.0,50,5,,10.0,30.28937,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1310.0
KTTA 171915Z AUTO 22004KT 10SM CLR 09/M03 A2986 RMK AO2 T00851032,KTTA,2021-01-17T19:15:00Z,35.58,-79.1,8.5,-3.2,220,4,,10.0,29.861221,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,71.0
KTOB 171915Z AUTO 31003KT 4SM BR OVC003 M08/M09 A2974 RMK AO2,KTOB,2021-01-17T19:15:00Z,44.02,-92.82,-8.0,-9.0,310,3,,4.0,29.740158,,,TRUE,TRUE,,,,,,BR,OVC,300,,,,,,,LIFR,,,,,,,,,,,,METAR,394.0
KTNU 171915Z AUTO 29013KT 8SM OVC013 M01/M02 A2978 RMK A01,KTNU,2021-01-17T19:15:00Z,41.67,-93.02,-1.0,-2.0,290,13,,8.0,29.778543,,,TRUE,TRUE,,,,,,,OVC,1300,,,,,,,MVFR,,,,,,,,,,,,METAR,287.0
KTME 171915Z AUTO 34009KT 8SM CLR 19/M03 A3010 RMK AO2,KTME,2021-01-17T19:15:00Z,29.8,-95.9,19.0,-3.0,340,9,,8.0,30.100393,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,49.0
KTKX 171915Z AUTO 27008G16KT 10SM CLR 07/M03 A2988 RMK AO2 TSNO,KTKX,2021-01-17T19:15:00Z,36.22,-90.03,7.0,-3.0,270,8,16,10.0,29.878937,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,73.0
KTKV 171915Z AUTO 35005KT 10SM OVC014 M04/M07 A2969 RMK AO2 T10451072 PWINO,KTKV,2021-01-17T19:15:00Z,45.47,-89.82,-4.5,-7.2,350,5,,10.0,29.68996,,,TRUE,TRUE,,,,,TRUE,,OVC,1400,,,,,,,MVFR,,,,,,,,,,,,METAR,449.0
KTKC 171915Z AUTO 33011KT 10SM OVC012 M01/M05 A2980 RMK AO2 T10131049,KTKC,2021-01-17T19:15:00Z,44.25,-95.62,-1.3,-4.9,330,11,,10.0,29.799213,,,TRUE,TRUE,,,,,,,OVC,1200,,,,,,,MVFR,,,,,,,,,,,,METAR,408.0
KTEW 171915Z AUTO 00000KT 2 1/2SM -SN SCT010 BKN013 OVC030 01/00 A2963 RMK AO2 T00101004,KTEW,2021-01-17T19:15:00Z,42.57,-84.42,1.0,-0.4,0,0,,2.5,29.630905,,,TRUE,TRUE,,,,,,-SN,SCT,1000,BKN,1300,OVC,3000,,,IFR,,,,,,,,,,,,METAR,281.0
KT69 171915Z AUTO 00000KT 10SM CLR 21/09 A3009 RMK A01,KT69,2021-01-17T19:15:00Z,28.03,-97.55,21.0,9.0,0,0,,10.0,30.088583,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,15.0
KSYN 171915Z AUTO 28005KT 3SM BR OVC004 M07/M08 A2977 RMK AO2 T10661076,KSYN,2021-01-17T19:15:00Z,44.47,-93.02,-6.6,-7.6,280,5,,3.0,29.769686,,,TRUE,TRUE,,,,,,BR,OVC,400,,,,,,,LIFR,,,,,,,,,,,,METAR,280.0
KSYM 171915Z AUTO 22014KT 9SM -UP BKN013 BKN017 OVC039 02/M00 A2976 RMK AO2,KSYM,2021-01-17T19:15:00Z,38.22,-83.58,2.0,0.0,220,14,,9.0,29.760826,,,TRUE,TRUE,,,,,,UP,BKN,1300,BKN,1700,OVC,3900,,,MVFR,,,,,,,,,,,,METAR,307.0
KSXU 171915Z AUTO 19003KT 10SM CLR 06/M08 A3010 RMK AO2 T00561079,KSXU,2021-01-17T19:15:00Z,34.93,-104.65,5.6,-7.9,190,3,,10.0,30.100393,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1465.0
KSXK 171915Z AUTO 31014KT 10SM OVC044 00/00 A2983 RMK AO2,KSXK,2021-01-17T19:15:00Z,42.98,-96.17,0.0,0.0,310,14,,10.0,29.828741,,,TRUE,TRUE,,,,,,,OVC,4400,,,,,,,VFR,,,,,,,,,,,,METAR,430.0
KSVH 171915Z AUTO 19007KT 10SM SCT047 08/M04 A2982 RMK AO2 T00811036,KSVH,2021-01-17T19:15:00Z,35.75,-80.95,8.1,-3.6,190,7,,10.0,29.819881,,,TRUE,TRUE,,,,,,,SCT,4700,,,,,,,VFR,,,,,,,,,,,,METAR,286.0
KSVE 171915Z AUTO 00000KT 10SM CLR 08/02 A3038 RMK AO2,KSVE,2021-01-17T19:15:00Z,40.37,-120.57,8.0,2.0,0,0,,10.0,30.380905,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1263.0
KSVC 171915Z AUTO 19009KT 10SM CLR 17/M15 A3017 RMK AO2 T01651147,KSVC,2021-01-17T19:15:00Z,32.63,-108.15,16.5,-14.7,190,9,,10.0,30.171259,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1638.0
KSUZ 171915Z AUTO 32007G17KT 6SM HZ CLR 12/M06 A2995 RMK A01,KSUZ,2021-01-17T19:15:00Z,34.58,-92.48,12.0,-6.0,320,7,17,6.0,29.949802,,,TRUE,TRUE,,,,,,HZ,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,114.0
KSUW 171915Z AUTO 26004KT 10SM OVC018 M03/M07 A2976 RMK AO2 T10301068,KSUW,2021-01-17T19:15:00Z,46.68,-92.1,-3.0,-6.8,260,4,,10.0,29.760826,,,TRUE,TRUE,,,,,,,OVC,1800,,,,,,,MVFR,,,,,,,,,,,,SPECI,205.0
KSUT 171915Z AUTO 24014G19KT 10SM CLR 09/M01 A2992 RMK AO2 T00931012,KSUT,2021-01-17T19:15:00Z,33.93,-78.08,9.3,-1.2,240,14,19,10.0,29.920275,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,6.0
KSTF 171915Z AUTO 29006KT 10SM SCT080 SCT085 12/M03 A2993 RMK AO2,KSTF,2021-01-17T19:15:00Z,33.43,-88.85,12.0,-3.0,290,6,,10.0,29.929134,,,TRUE,TRUE,,,,,,,SCT,8000,SCT,8500,,,,,VFR,,,,,,,,,,,,SPECI,99.0
KSRR 171915Z AUTO 30017G25KT 10SM CLR 12/M23 A3015 RMK AO2,KSRR,2021-01-17T19:15:00Z,33.47,-105.52,12.0,-23.0,300,17,25,10.0,30.15059,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,2063.0
KSPF 171915Z AUTO 27010KT 10SM SCT065 OVC075 04/M10 A2987 RMK AO2 PWINO,KSPF,2021-01-17T19:15:00Z,44.47,-103.78,4.0,-10.0,270,10,,10.0,29.870079,,,TRUE,TRUE,,,,,TRUE,,SCT,6500,OVC,7500,,,,,VFR,,,,,,,,,,,,METAR,1191.0
KSPA 171915Z AUTO 25007KT 10SM SCT048 07/M05 A2987 RMK AO2,KSPA,2021-01-17T19:15:00Z,34.92,-81.95,7.0,-5.0,250,7,,10.0,29.870079,,,TRUE,TRUE,,,,,,,SCT,4800,,,,,,,VFR,,,,,,,,,,,,METAR,242.0
KSOW 171915Z AUTO 00000KT 10SM CLR 11/M16 A3026 RMK AO2,KSOW,2021-01-17T19:15:00Z,34.27,-110.0,11.0,-16.0,0,0,,10.0,30.259842,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1954.0
KSNC 171915Z AUTO 27010G18KT 230V320 10SM OVC045 06/M05 A2954 RMK AO2,KSNC,2021-01-17T19:15:00Z,41.38,-72.5,6.0,-5.0,270,10,18,10.0,29.53937,,,TRUE,TRUE,,,,,,,OVC,4500,,,,,,,VFR,,,,,,,,,,,,METAR,114.0
KSMS 171915Z AUTO 24010G16KT 10SM CLR 11/M02 A2992 RMK AO2,KSMS,2021-01-17T19:15:00Z,34.0,-80.37,11.0,-2.0,240,10,16,10.0,29.920275,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,53.0
KSLH 171915Z AUTO 32004KT 10SM CLR M02/M05 A2963 RMK AO2,KSLH,2021-01-17T19:15:00Z,45.65,-84.52,-2.0,-5.0,320,4,,10.0,29.630905,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,193.0
KSLB 171915Z AUTO 34012G18KT 10SM BKN011 M03/M03 RMK AO2,KSLB,2021-01-17T19:15:00Z,42.6,-95.23,-3.0,-3.0,340,12,18,10.0,,,,TRUE,TRUE,,,,,,,BKN,1100,,,,,,,MVFR,,,,,,,,,,,,METAR,450.0
KSJX 171915Z AUTO 03006KT 10SM BKN034 OVC045 M02/M05 A2965 RMK AO2 T10171055,KSJX,2021-01-17T19:15:00Z,45.7,-85.57,-1.7,-5.5,30,6,,10.0,29.648623,,,TRUE,TRUE,,,,,,,BKN,3400,OVC,4500,,,,,VFR,,,,,,,,,,,,METAR,202.0
KSIK 171915Z AUTO 27010G15KT 10SM CLR 07/M02 A2986 RMK AO2 TSNO,KSIK,2021-01-17T19:15:00Z,36.9,-89.57,7.0,-2.0,270,10,15,10.0,29.861221,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,95.0
KSHL 171915Z AUTO 33012KT 10SM SCT015 OVC045 M01/M02 A2980 RMK AO2,KSHL,2021-01-17T19:15:00Z,43.22,-95.83,-1.0,-2.0,330,12,,10.0,29.799213,,,TRUE,TRUE,,,,,,,SCT,1500,OVC,4500,,,,,VFR,,,,,,,,,,,,METAR,430.0
KSHD 171915Z AUTO 23007KT 10SM BKN048 OVC055 04/M03 A2978 RMK AO2 T00431029,KSHD,2021-01-17T19:15:00Z,38.27,-78.9,4.3,-2.9,230,7,,10.0,29.778543,,,TRUE,TRUE,,,,,,,BKN,4800,OVC,5500,,,,,VFR,,,,,,,,,,,,METAR,360.0
KSGS 171915Z AUTO 34005KT 10SM BKN007 M05/M07 A2978 RMK AO2 T10511066,KSGS,2021-01-17T19:15:00Z,44.87,-93.03,-5.1,-6.6,340,5,,10.0,29.778543,,,TRUE,TRUE,,,,,,,BKN,700,,,,,,,IFR,,,,,,,,,,,,METAR,250.0
KSFQ 171915Z AUTO 25009KT 10SM CLR 10/00 A2983 RMK AO2 T01011004,KSFQ,2021-01-17T19:15:00Z,36.68,-76.6,10.1,-0.4,250,9,,10.0,29.828741,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,19.0
KSEM 171915Z AUTO 21008KT 9SM CLR 13/M01 A2996 RMK AO2,KSEM,2021-01-17T19:15:00Z,32.35,-86.98,13.0,-1.0,210,8,,9.0,29.958662,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,48.0
KSDC 171915Z AUTO 29003KT 10SM SCT025 BKN031 OVC039 03/M01 A2957 RMK AO2,KSDC,2021-01-17T19:15:00Z,43.23,-77.12,3.0,-1.0,290,3,,10.0,29.568897,,,TRUE,TRUE,,,,,,,SCT,2500,BKN,3100,OVC,3900,,,VFR,,,,,,,,,,,,METAR,127.0
KSDA 171915Z AUTO 30010G15KT 10SM BKN025 02/M01 A2987 RMK AO2,KSDA,2021-01-17T19:15:00Z,40.75,-95.42,2.0,-1.0,300,10,15,10.0,29.870079,,,TRUE,TRUE,,,,,,,BKN,2500,,,,,,,MVFR,,,,,,,,,,,,METAR,293.0
